Timestamp,TrabajoID,Resultado,CargaActiva
2025/02/09 02:24:45,9,localhost:50060,Resultado de trabajo 9
2025-02-09 02:24:45,10,Resultado de trabajo 10,1
2025/02/09 02:24:45,10,localhost:50058,Resultado de trabajo 10
2025-02-09 02:24:45,7,Resultado de trabajo 7,1
2025/02/09 02:24:45,7,localhost:50055,Resultado de trabajo 7
2025-02-09 02:24:45,8,Resultado de trabajo 8,1
2025/02/09 02:24:45,8,localhost:50055,Resultado de trabajo 8
2025-02-09 02:24:45,11,Resultado de trabajo 11,1
2025/02/09 02:24:45,11,localhost:50055,Resultado de trabajo 11
2025-02-09 02:24:45,15,Resultado de trabajo 15,1
2025/02/09 02:24:45,15,localhost:50055,Resultado de trabajo 15
2025-02-09 02:24:45,8,Resultado de trabajo 8,1
2025/02/09 02:24:45,8,localhost:50056,Resultado de trabajo 8
2025-02-09 02:24:45,12,Resultado de trabajo 12,1
2025/02/09 02:24:45,12,localhost:50053,Resultado de trabajo 12
2025-02-09 02:24:45,7,Resultado de trabajo 7,1
2025/02/09 02:24:45,7,localhost:50057,Resultado de trabajo 7
2025-02-09 02:24:45,9,Resultado de trabajo 9,1
2025/02/09 02:24:45,9,localhost:50052,Resultado de trabajo 9
2025-02-09 02:24:45,13,Resultado de trabajo 13,1
2025/02/09 02:24:45,13,localhost:50055,Resultado de trabajo 13
2025-02-09 02:24:45,16,Resultado de trabajo 16,1
2025/02/09 02:24:45,16,localhost:50060,Resultado de trabajo 16
2025-02-09 02:24:45,14,Resultado de trabajo 14,1
2025/02/09 02:24:45,14,localhost:50059,Resultado de trabajo 14
2025-02-09 02:24:45,5,Resultado de trabajo 5,1
2025/02/09 02:24:45,5,localhost:50052,Resultado de trabajo 5
2025-02-09 02:24:45,15,Resultado de trabajo 15,1
2025/02/09 02:24:45,15,localhost:50059,Resultado de trabajo 15
2025-02-09 02:24:45,10,Resultado de trabajo 10,1
2025/02/09 02:24:45,10,localhost:50053,Resultado de trabajo 10
2025-02-09 02:24:45,17,Resultado de trabajo 17,1
2025/02/09 02:24:45,17,localhost:50060,Resultado de trabajo 17
2025-02-09 02:24:45,11,Resultado de trabajo 11,1
